X-coordinate(mm)         Y-coordinate(mm)
                                             
      0                     0           
      0.5                   -0.074137394
      1                     -0.219276283
      1.5                   -0.319506726
      2                     -0.221524664
      2.5                   -0.120110862
      3                     -0.146499751
      3.5                   -0.163362606
      4                     -0.209217738
      4.5                   -0.20347845 
      5                     0.066268062 
      5.5                   0.106502242 
      6                     0.146973094 
      6.5                   0.236434978 
      7                     0.260338814 
      7.5                   0.260338814 
      8                     0.25536871  
      8.5                   0.248771487 
      9                     0.242174265 
      9.5                   0.203833458 
      10                    0.009466866 
      10.5                  -0.17034442 
      11                    -0.291697808
      11.5                  -0.25081278 
      12                    -0.150049826
      12.5                  -0.295839562
      13                    -0.424943946
      13.5                  -0.693743772
      14                    -1.028811659
      14.5                  -1.278026906
      15                    -1.267376682
      15.5                  -1.267731689
      16                    -1.278026906
      16.5                  -1.278026906
      17                    -1.278026906
      17.5                  -1.256134778
      18                    -1.348555057
      18.5                  -1.503101644
      19                    -1.481446188
      19.5                  -1.177914798
      20                    -0.894618834
      20.5                  -0.775868834
      21                    -0.696406328
      21.5                  -0.719895989
      22                    -0.48576856 
      22.5                  -0.056949116
      23                    0.260338814 
      23.5                  0.456835451 
      24                    0.911659193 
      24.5                  1.200280269 
      25                    1.837163677 
      25.5                  2.11566704  
      26                    2.315595416 
      26.5                  2.574040857 
      27                    2.705630294 
      27.5                  2.556053812 
      28                    2.556053812 
      28.5                  2.496945067 
      29                    2.378195067 
      29.5                  2.426653587 
      30                    2.545403587 
      30.5                  2.422156826 
      31                    2.140458396 
      31.5                  1.815094046 
      32                    1.561086198 
      32.5                  1.465293348 
      33                    1.098274788 
      33.5                  0.790897484 
      34                    0.920179372 
      34.5                  0.914262581 
      35                    0.805866966 
      35.5                  0.836160937 
      36                    0.86243149  
      36.5                  0.765248194 
      37                    0.587123194 
      37.5                  0.420092177 
      38                    0.174190334 
      38.5                  -0.025028027
      39                    -0.311341555
      39.5                  -0.173243647
      40                    0           
      40.5                  -0.014910314
      41                    -0.04733433 
      41.5                  -0.124725959
      42                    -0.134666168
      42.5                  -0.065232623
      43                    -0.005857623
      43.5                  0.106502242 
      44                    0.088041854 
      44.5                  -0.075143249
      45                    -0.12839437 
      45.5                  0.01786871  
      46                    0.168273543 
      46.5                  0.138985426 
      47                    0.020235426 
      47.5                  -0.394058296
      48                    -0.615346288
      48.5                  -0.585999003
      49                    -0.374887892
      49.5                  -0.104549701
      50                    0.213004484 
      50.5                  0.450504484 
      51                    0.610257848 
      51.5                  0.549019058 
      52                    0.532511211 
      52.5                  0.852313777 
      53                    1.181583209 
      53.5                  1.375890633 
      54                    1.49103139  
      54.5                  1.49103139  
      55                    1.38334579  
      55.5                  1.062833209 
      56                    1.018634778 
      56.5                  1.064815334 
      57                    1.065022422 
      57.5                  1.065022422 
      58                    1.028811659 
      58.5                  0.910061659 
      59                    0.825037369 
      59.5                  0.820895615 
      60                    0.695814649 
      60.5                  0.798027217 
      61                    0.957100149 
      61.5                  0.933492152 
      62                    1.009641256 
      62.5                  1.136023916 
      63                    1.370328849 
      63.5                  1.555465247 
      64                    1.716816143 
      64.5                  1.822490035 
      65                    1.867930992 
      65.5                  1.923963004 
      66                    1.995852018 
      66.5                  1.869706029 
      67                    1.913371948 
      67.5                  2.001058794 
      68                    2.1295715   
      68.5                  2.269621948 
      69                    2.058925012 
      69.5                  1.94195005  
      70                    1.876806178 
      70.5                  1.699716617 
      71                    1.597533632 
      71.5                  1.64492713  
      72                    1.644394619 
      72.5                  1.525644619 
      73                    1.49103139  
      73.5                  1.587415919 
      74                    2.048866467 
      74.5                  2.11566704  
      75                    1.985083458 
      75.5                  1.878344544 
      76                    1.830891878 
      76.5                  1.819531639 
      77                    1.631022671 
      77.5                  1.235721849 
      78                    0.771076233 
      78.5                  0.421453039 
      79                    0.339150473 
      79.5                  0.302643871 
      80                    0.231938216 
      80.5                  0.213714499 
      81                    0.800896861 
      81.5                  1.311160937 
      82                    1.686285501 
      82.5                  2.096910812 
      83                    2.23867713  
      83.5                  2.255362481 
      84                    2.30470852  
      84.5                  2.495880045 
      85                    2.647172397 
      85.5                  2.721723966 
      86                    2.592501246 
      86.5                  2.365414798 
      87                    2.295596662 
      87.5                  2.285360613 
      88                    2.295714998 
      88.5                  2.350326981 
      89                    2.360563029 
      89.5                  2.280982187 
      90                    2.403400598 
      90.5                  2.410974091 
      91                    2.270154459 
      91.5                  2.31831714  
      92                    2.299501744 
      92.5                  2.254297459 
      93                    1.967333084 
      93.5                  1.66137581  
      94                    1.34027155  
      94.5                  1.184068261 
      95                    1.221817389 
      95.5                  1.584694195 
      96                    1.437780269 
      96.5                  1.317846911 
      97                    1.252466368 
      97.5                  0.80261273  
      98                    0.444706029 
      98.5                  0.459024664 
      99                    0.450504484 
      99.5                  0.331754484 
      100                   0.319506726 
