JRC         Amplitude of asperity
                  JANG                this paper
0.4                0.66592              0.65525
2.8                1.83129              1.54044
5.8                1.60498              1.43333
6.7                2.0498               1.76476
9.5                3.89929              3.64091
10.8               5.32739              5.30694
12.8               5.66555              6.13695
14.5               6.36789              6.46509
16.7               6.23003              6.39769
18.7               4.38833              4.28376
                  
        
