X-coordinate(mm)         Y-coordinate(mm)
                                          
      0                     0           
      0.5                   0.189599483 
      1                     0.332041344 
      1.5                   0.529715762 
      2                     0.494832041 
      2.5                   0.490956072 
      3                     0.713178295 
      3.5                   0.840439276 
      4                     0.728682171 
      4.5                   0.645994832 
      5                     0.645994832 
      5.5                   0.859173127 
      6                     0.904392765 
      6.5                   0.942183463 
      7                     0.875322997 
      7.5                   0.781653747 
      8                     0.54005168  
      8.5                   0.453165375 
      9                     0.324289406 
      9.5                   0.217700258 
      10                    0.045219638 
      10.5                  -0.171834625
      11                    -0.328165375
      11.5                  -0.419250646
      12                    -0.612403101
      12.5                  -0.681524548
      13                    -0.80749354 
      13.5                  -0.718346253
      14                    -0.516795866
      14.5                  -0.516795866
      15                    -0.516795866
      15.5                  -0.382428941
      16                    -0.036175711
      16.5                  0.064599483 
      17                    0.19250646  
      17.5                  0.353682171 
      18                    0.387596899 
      18.5                  0.387596899 
      19                    0.387596899 
      19.5                  0.459302326 
      20                    0.348837209 
      20.5                  0.529715762 
      21                    0.525839793 
      21.5                  0.468992248 
      22                    0.313953488 
      22.5                  0.19379845  
      23                    0.100129199 
      23.5                  0.078165375 
      24                    0.074935401 
      24.5                  0.003552972 
      25                    -0.151808786
      25.5                  -0.385658915
      26                    -0.612403101
      26.5                  -0.519702842
      27                    -0.516795866
      27.5                  -0.523255814
      28                    -0.617571059
      28.5                  -0.892118863
      29                    -1.220284238
      29.5                  -1.447028424
      30                    -1.505167959
      30.5                  -1.682170543
      31                    -1.82881137 
      31.5                  -1.879198966
      32                    -2          
      32.5                  -2.028423773
      33                    -2.028423773
      33.5                  -1.769056848
      34                    -1.73255814 
      34.5                  -1.7125323  
      35                    -1.511627907
      35.5                  -1.281007752
      36                    -0.994832041
      36.5                  -0.635335917
      37                    -0.42377261 
      37.5                  -0.311692506
      38                    -0.258397933
      38.5                  -0.208333333
      39                    -0.072997416
      39.5                  0.055878553 
      40                    0.064599483 
      40.5                  0.284560724 
      41                    0.133074935 
      41.5                  0.160852713 
      42                    0.180878553 
      42.5                  0.234173127 
      43                    0.259043928 
      43.5                  0.180878553 
      44                    0.235142119 
      44.5                  0.410852713 
      45                    0.778423773 
      45.5                  0.92118863  
      46                    0.941860465 
      46.5                  1.056524548 
      47                    1.120155039 
      47.5                  1.309754522 
      48                    1.416020672 
      48.5                  1.357881137 
      49                    1.336563307 
      49.5                  1.287790698 
      50                    1.369509044 
      50.5                  1.384366925 
      51                    1.512919897 
      51.5                  1.59496124  
      52                    1.602067183 
      52.5                  1.602067183 
      53                    1.687984496 
      53.5                  1.69250646  
      54                    1.710594315 
      54.5                  1.89373385  
      55                    2.031653747 
      55.5                  2.195413437 
      56                    2.439276486 
      56.5                  2.810077519 
      57                    2.924418605 
      57.5                  2.906976744 
      58                    3.015503876 
      58.5                  3.222222222 
      59                    3.312661499 
      59.5                  3.427971576 
      60                    3.436692506 
      60.5                  3.311692506 
      61                    3.221576227 
      61.5                  3.320413437 
      62                    3.355297158 
      62.5                  3.427002584 
      63                    3.434108527 
      63.5                  3.537144703 
      64                    3.643410853 
      64.5                  3.669250646 
      65                    3.620801034 
      65.5                  3.636627907 
      66                    3.562015504 
      66.5                  3.666343669 
      67                    3.650516796 
      67.5                  3.796834625 
      68                    3.904392765 
      68.5                  4.042958656 
      69                    4.09496124  
      69.5                  4.047803618 
      70                    3.95994832  
      70.5                  3.901808786 
      71                    3.901808786 
      71.5                  3.901808786 
      72                    3.901808786 
      72.5                  3.800064599 
      73                    3.785529716 
      73.5                  3.582364341 
      74                    3.727390181 
      74.5                  3.785529716 
      75                    3.785529716 
      75.5                  3.739341085 
      76                    3.643410853 
      76.5                  3.625       
      77                    3.640180879 
      77.5                  3.725775194 
      78                    3.777777778 
      78.5                  3.735465116 
      79                    3.50129199  
      79.5                  3.629844961 
      80                    3.643410853 
      80.5                  3.496447028 
      81                    3.419250646 
      81.5                  3.294250646 
      82                    3.23126615  
      82.5                  3.260658915 
      83                    3.204134367 
      83.5                  3.204134367 
      84                    3.118863049 
      84.5                  3.018410853 
      85                    2.929586563 
      85.5                  2.768410853 
      86                    2.739018088 
      86.5                  2.739018088 
      87                    2.739018088 
      87.5                  2.747093023 
      88                    2.790697674 
      88.5                  2.707041344 
      89                    2.654392765 
      89.5                  2.619832041 
      90                    2.38372093  
      90.5                  2.259043928 
      91                    2.189276486 
      91.5                  2.223191214 
      92                    1.710594315 
      92.5                  1.531007752 
      93                    1.414082687 
      93.5                  1.279069767 
      94                    1.26744186  
      94.5                  1.158268734 
      95                    1.130490956 
      95.5                  1.111111111 
      96                    1.157622739 
      96.5                  1.282622739 
      97                    1.379198966 
      97.5                  1.335594315 
      98                    1.391472868 
      98.5                  1.364018088 
      99                    1.365633075 
      99.5                  1.345607235 
      100                   1.408268734 
